Latitude,Longitude,Name,Times recommended,Recommended by,Rating,Reviews,Category,Google category,Notes,Website
43.2933252,5.3759033,Opéra de Marseille,1,Tom,4.4,1895,Town / Area,,Rumba evening on the tiles outside — STUNNING.,http://opera.marseille.fr/
43.29420469999999,5.383522,Espace Julien,1,Cara,4.3,1162,Town / Area,Bar,Nice area with loads of bars around a square.,http://www.espace-julien.com/
43.2972618,5.3707199,Placette,1,Group list,4.6,629,Coffee / Lunch,Restaurant,Healthy lunch.,
43.2921617,5.3843662,Beans,1,Group list,4.8,499,Coffee / Lunch,Restaurant,Breakfast / brunch.,http://beansmarseille.com/
43.2834363,5.374679,Carlotta,1,Group list,4.3,904,Coffee / Lunch,Bar,Brunch.,http://carlottawith.com/
43.2991708,5.3690304,Chez Lucas,1,Group list,4.9,1002,Coffee / Lunch,Restaurant,Giant sandwiches.,https://www.instagram.com/chez_lucas_/
43.28292510000001,5.3503379,L'Eau à la Bouche,1,Cara,4.2,983,Coffee / Lunch,Restaurant,Grab a pizza and eat it by the sea.,http://www.pizzerialeaualabouche.fr/
43.2983358,5.3711071,Nguyen Hoang,1,Group list,4.5,642,Dinner,Bar,Traditional Vietnamese — sit outside.,https://www.facebook.com/NguyenHoangMarseille/
43.2151347,5.3454833,Chez Paul,1,Cara,4.5,1558,Dinner,Restaurant,"By the sea — bouillabaisse, buff location (spenny).",https://www.facebook.com/chezpaul.lesgoudes/
43.29401259999999,5.3753793,Marmot,1,Group list,4.8,46,Wine Bar,Bar,Wine bar — near the port & Ciel.,https://www.instagram.com/lemarmotbarprovencal?igsh=aWxwbjM0Y3N4MXZx
43.2453224,5.3740836,Bibi Marseille,1,Georgie,,,Nightlife,Night Club,Club.,
43.2902445,5.3726162,Bar Gaspard,1,Georgie,4.8,792,Nightlife,Bar,Bar.,https://www.bargaspard.com/
43.3001068,5.3685902,Le Spot de l'Été,1,Georgie,4.9,45,Nightlife,Bar,Bar.,https://www.instagram.com/taofe.cafe?igsh=NHZ3dHBjZ2YxcTIw
43.2958983,5.3704651,La Navette (RTM ferry),1,Group list,4.3,169,Transport,,Sea ferry around Marseille.,https://www.rtm.fr/ferry-boat
